scenario,year,p_urban
SSP1,2015,0.12324217028876272
SSP1,2020,0.1071963840877877
SSP1,2025,0.09269555565432243
SSP1,2030,0.07984040209109906
SSP1,2035,0.06861406515917128
SSP1,2040,0.05891874946471538
SSP1,2045,0.05061021415241118
SSP1,2050,0.043524908111917775
SSP1,2055,0.03749854487695024
SSP1,2060,0.032377204126034724
SSP1,2065,0.028022876581639978
SSP1,2070,0.024315335685137312
SSP2,2015,0.07840286717620731
SSP2,2020,0.07101289909422931
SSP2,2025,0.06419456091276084
SSP2,2030,0.05795939616388529
SSP2,2035,0.052299345410841046
SSP2,2040,0.0471916639479129
SSP2,2045,0.04260357605755061
SSP2,2050,0.0384962851819342
SSP2,2055,0.034828178183526806
SSP2,2060,0.031557218175438925
SSP2,2065,0.028642613031745038
SSP2,2070,0.026045888389803665
Universal,2015,0.12324217028876272
Universal,2020,0.1071963840877877
Universal,2025,0.09269555565432243
Universal,2030,0.07984040209109906
Universal,2035,0.06861406515917128
Universal,2040,0.05891874946471538
Universal,2045,0.05061021415241118
Universal,2050,0.043524908111917775
Universal,2055,0.03749854487695024
Universal,2060,0.032377204126034724
Universal,2065,0.028022876581639978
Universal,2070,0.024315335685137312
