"fuel","fnrb","wood_equivalent","NCV ","CO2","CH4","NO2","CO","NMHC","BC","OC","SO2","CO2eq_gwp100","CO2eq_gwp20"
"coal",1,"NA","20.7","97.5","0.3","0.0015","0.998550724637681","0.077294685990338","0.148792270531401","0.113526570048309","0.007246376811594","106.2795","122.2695"
"firewood","0.34",1,"15.6",112,"0.3","0.004",5,"0.6","0.070512820512821","0.137820512820513","0.017307692307692","121.462","137.452"
"charcoal","0.34","1.90372881355932","29.5",112,"0.2","0.001",7,"0.1","0.006101694915254","0.008474576271186","0.013559322033898","117.853","128.513"
"kerosene",1,"NA","43.8","71.9","0.01","0.0006","0.128995433789954","0.115296803652968","0.000684931506849","0.000913242009132","0.000684931506849","72.3428","72.8758"
"lpg",1,"NA","47.3","63.1","0.005","0.0001","0.078012684989429","0.1553911205074","0.001479915433404","0.001479915433404",0,"63.2668","63.5333"
"gas",1,"NA",48,"56.1","0.005","0.0001","0.05","0.05","0.001458333333333","0.001458333333333",0,"56.2668","56.5333"
"diesel_home",1,"NA",43,"74.1","0.01","0.0006",1,"0.2","0.020058139534884","0.028837209302326","0.006928018604651","74.5428","75.0758"
"paraffin",1,"NA","40.2","73.3","0.01","0.0006","0.128995433789954","0.115296803652968","0.000684931506849","0.000995024875622","0.000746268656716","73.7428","74.2758"
,,,,,,,,,,,,,
"unit",,,"GJ/t (or MJ/kg)","kg/GJ","kg/GJ","kg/GJ","kg/GJ","kg/GJ","kg/GJ","kg/GJ","kg/GJ",,
,,,,,,,,,,,,,
"GWP100",,,,1,"27.9",273,0,0,0,0,0,,
"GWP20",,,,1,"81.2",273,0,0,0,0,0,,
,,,,,,,,,,,,,
,,,,,,,,,"GWP100 for BC could be 900 from Bond, T. C.; Doherty, S. J.; Fahey, D. W.; Forster, P. M.; Berntsen, T.; DeAngelo,
B. J.; Flanner, M. G.; Ghan, S.; Kärcher, B.; Koch, D.; et al. Bounding the role of
black carbon in the climate system: A scientific assessment. J. Geophys. Res.
Atmos. 2013, 118, 5380–5552.
 ",,,,
,,,,,,,,,460,,,,
