Scenario,2020,2030,2040,2050,Indicator,Locality
SSP1,99.9%,98.3%,92.6%,67.9%,p_solid_fuel,rural
SSP2,99.9%,97.7%,95.6%,91.2%,p_solid_fuel,rural
SSP3,99.9%,99.3%,98.1%,94.4%,p_solid_fuel,rural
SSP1,94.7%,82.3%,64.0%,37.3%,p_solid_fuel,urban
SSP2,94.6%,81.2%,67.5%,56.7%,p_solid_fuel,urban
SSP3,93.9%,90.3%,82.8%,75.3%,p_solid_fuel,urban
SSP1,18.6%,26.1%,37.0%,47.5%,p_elec,rural
SSP2,18.9%,24.7%,30.3%,37.7%,p_elec,rural
SSP3,19.2%,23.0%,25.6%,28.2%,p_elec,rural
SSP1,58.2%,66.8%,76.2%,83.5%,p_elec,urban
SSP2,59.7%,66.5%,72.0%,77.9%,p_elec,urban
SSP3,58.7%,63.1%,66.7%,69.4%,p_elec,urban
